Price,Beds,Baths,Price_per_sqft,Type,Yr_Built,Zipcode,City,Sqft_lot,Sqft_liv,High_school_rating,Middle_school_rating,Elementary_School_Rating,Heating,Cooling,Fireplace,View
980000,3.0,2.5,427,Single Family Home,2014,98133,Seattle,4356.0,2294.0,5,5,4," Electric heat,Natural gas heat",,Fireplace(s): Yes,
980000,3.0,2.5,427,Single Family Home,2014,98133,Seattle,4356.0,2294.0,5,5,4," Electric heat,Natural gas heat",,Fireplace(s): Yes,
999000,3.0,2.25,755,Condo/Townhome/Row Home/Co-Op,1996,98033,Kirkland,0.66,1323.0,9,9,6, Forced Air,,Fireplace(s): Yes,View: Yes
549000,3.0,2.25,327,Single Family Home,1940,98178,Seattle,0.23,1680.0,5,5,8," Baseboard heater(s),Electric heat", Ceiling fan(s),Fireplace(s): Yes,
488000,1.0,1.0,933,Condo/Townhome/Row Home/Co-Op,2007,98102,Seattle,,523.0,7,NR,2," Baseboard heater(s),Electric heat",,,
530000,3.0,1.5,402,Single Family Home,1950,98178,Seattle,7500.0,1320.0,3,3,5, Baseboard,,Fireplace(s): Yes,View: Yes
875000,,0.0,,1938,,98133,Shoreline,0.44,,5,7,7,,,,
2998000,6.0,4.25,503,Single Family Home,2018,98033,Kirkland,0.34,5961.0,9,9,6," Electric heat,Natural gas heat,Radiant heat",,Fireplace(s): Yes,
377000,2.0,2.5,343,Single Family Home,1985,98072,Woodinville,,1100.0,7,6,5," Baseboard heater(s),Electric heat",,Fireplace(s): Yes,
390000,2.0,1.0,429,Single Family Home,1948,98168,Seattle,7500.0,910.0,7,3,2, Forced Air,,,
185499,3.0,,95,single_family,,98045,North Bend,,1952.0,9,6,5,,,,
1850000,5.0,2.75,514,Single Family Home,1950,98112,Seattle,6534.0,3600.0,7,5,8," Electric heat,Natural gas heat",,Fireplace(s): Yes,
1489950,5.0,3.75,394,Single Family Home,2018,98075,Sammamish,7841.0,3784.0,,,," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
598000,1.0,1.0,683,Condo/Townhome/Row Home/Co-Op,2003,98119,Seattle,,876.0,9,7,9, Electric heat,,Fireplace(s): Yes,
599950,3.0,1.0,252,Single Family Home,1919,98106,Seattle,0.24,2380.0,3,6,2, Forced Air,,,View: Yes
400000,0.0,0.0,189,Single Family Home,1922,98106,Seattle,4792.0,2116.0,3,6,2," Electric heat,Forced air heat",,,
739950,3.0,2.5,373,Single Family Home,2018,98126,Seattle,3299.0,1983.0,,,, High Efficiency,,Fireplace(s): Yes,View: Yes
595000,4.0,1.75,438,Single Family Home,1960,98108,Seattle,6098.0,1360.0,3,6,3," Forced air heat,Natural gas heat", Ceiling fan(s),,
625800,4.0,,259,1940,,98146,Seattle,0.26,2420.0,7,3,6,,,Fireplace: Yes,
780500,4.0,,918,1955,,98006,Bellevue,0.27,850.0,9,7,7,,,Fireplace: Yes,
749000,2.0,2.5,457,Single Family Home,1986,98052,Redmond,2614.0,1640.0,9,8,8," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
450000,5.0,2.5,153,Single Family Home,1963,98032,Kent,0.23,2940.0,3,2,3,,,,View: Yes
625800,4.0,,259,1940,,98146,Seattle,0.26,2420.0,7,3,6,,,Fireplace: Yes,
499950,3.0,1.75,345,Single Family Home,1956,98133,Shoreline,0.26,1450.0,5,7,7," Electric heat,Forced air heat",,,
1895000,3.0,3.25,504,Single Family Home,1927,98105,Seattle,5663.0,3760.0,10,8,6," Forced air heat,Natural gas heat",,,View: Yes
1625000,3.0,3.0,535,Single Family Home,2018,98033,Kirkland,2614.0,3035.0,9,9,8," Electric heat,Natural gas heat", Central A/C,Fireplace(s): Yes,
534000,2.0,1.0,344,Single Family Home,1956,98031,Kent,0.81,1552.0,8,4,5,,,,
909990,3.0,2.5,520,Single Family Home,2006,98103,Seattle,1742.0,1750.0,9,8,7," Electric heat,Natural gas heat,Radiant heat",,,
295000,1.0,1.0,546,Single Family Home,1936,98168,Seattle,0.44,540.0,NR,3,5, Baseboard,,Fireplace(s): Yes,View: Territorial
289000,3.0,1.0,413,Single Family Home,1953,98056,Renton,7650.0,700.0,6,5,6, Baseboard,,,
649950,3.0,1.5,339,Single Family Home,1942,98146,Seattle,0.42,1920.0,NR,3,6," Electric heat,Forced air heat,Natural gas heat",,,
1319900,4.0,2.5,353,Single Family Home,1995,98053,Redmond,0.7,3740.0,9,8,7," Forced air heat,Natural gas heat", Central A/C,,
325000,1.0,0.75,509,Single Family Home,1943,98070,Vashon,0.61,638.0,9,NR,NR," Stove/Free Standing,Wall",,Fireplace(s): Yes,
800000,4.0,2.75,287,Single Family Home,1966,98008,Bellevue,7841.0,2790.0,8,4,4, Electric heat," Central A/C, Ceiling fan(s)",Fireplace(s): Yes,
319000,2.0,1.75,299,Condo/Townhome/Row Home/Co-Op,1980,98034,Kirkland,,1066.0,8,5,7," Baseboard heater(s),Electric heat",,Fireplace(s): Yes,
650000,3.0,1.75,442,Single Family Home,1956,98008,Bellevue,6970.0,1470.0,7,7,7," Electric heat,Natural gas heat",,Fireplace(s): Yes,
659990,4.0,,244,single_family,,98031,Kent,,2703.0,8,4,7,,,Fireplaces,
465000,4.0,2.5,211,Single Family Home,2011,98042,Covington,6534.0,2200.0,5,5,4," Electric heat,Forced air heat,Natural gas heat",,Fireplace(s): Yes,
