Price,Beds,Baths,Price_per_sqft,Type,Yr_Built,Zipcode,City,Sqft_lot,Sqft_liv,High_school_rating,Middle_school_rating,Elementary_School_Rating,Heating,Cooling,Fireplace,View
888000,4.0,2.5,316,Single Family Home,2000,98056,Renton,5663.0,2810.0,6,5,7," Forced air heat,Natural gas heat", Ceiling fan(s),Fireplace(s): Yes,
888000,4.0,2.5,316,Single Family Home,2000,98056,Renton,5663.0,2810.0,6,5,7," Forced air heat,Natural gas heat", Ceiling fan(s),Fireplace(s): Yes,
549950,2.0,2.0,451,Condo/Townhome/Row Home/Co-Op,1996,98199,Seattle,0.27,1219.0,9,7,9, Wall,,Fireplace(s): Yes,View: Yes
1725000,5.0,3.5,431,Single Family Home,2018,98103,Seattle,7405.0,4002.0,5,NR,7," Heat pump,Natural gas heat",,,
1319995,4.0,2.75,367,Single Family Home,2018,98075,Sammamish,9148.0,3601.0,,,, Natural gas heat,,Fireplace(s): Yes,
574850,2.0,1.0,553,Single Family Home,1947,98117,Seattle,5227.0,1040.0,5,NR,6," Electric heat,Forced air heat,Natural gas heat",,,
1150000,2.0,2.75,518,Single Family Home,1925,98115,Seattle,6098.0,2220.0,10,8,9," Electric heat,Hot water radiator heat",,,
2895000,4.0,4.0,639,Single Family Home,1955,98199,Seattle,0.29,4530.0,9,7,8," Forced air heat,Natural gas heat", Central A/C,,View: Yes
450000,3.0,3.0,203,Condo/Townhome/Row Home/Co-Op,1981,98188,Seatac,1.37,2216.0,NR,2,3," Forced Air,Heat Pump,High Efficiency", Central A/C,,View: Yes
1725000,5.0,3.5,431,Single Family Home,2018,98103,Seattle,7405.0,4002.0,5,NR,7," Heat pump,Natural gas heat",,,
439000,4.0,2.5,148,Single Family Home,2004,98092,Auburn,4792.0,2960.0,7,4,6," Electric heat,Forced air heat", Ceiling fan(s),Fireplace(s): Yes,
1249995,4.0,2.75,347,Single Family Home,2018,98075,Sammamish,8712.0,3601.0,,,, Natural gas heat,,Fireplace(s): Yes,
579000,2.0,2.5,481,Single Family Home,2002,98052,Redmond,3.7,1204.0,10,8,7," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
599950,4.0,2.5,226,Single Family Home,1966,98106,Seattle,9490.0,2650.0,3,6,3," Baseboard,Insert,Other-See Remarks",,Fireplace(s): Yes,View: Yes
495000,2.0,2.5,408,Condo/Townhome/Row Home/Co-Op,1993,98027,Issaquah,,1214.0,8,7,8," Baseboard heater(s),Electric heat,Forced air heat",,Fireplace(s): Yes,
728500,4.0,2.5,322,Single Family Home,1984,98126,Seattle,4792.0,2260.0,5,7,6," Electric heat,Forced air heat", Central A/C,,
749999,3.0,2.75,418,Single Family Home,2018,98011,Bothell,0.33,1796.0,9,6,7, Radiant,,Fireplace(s): Yes,View: Yes
400000,2.0,1.5,376,Condo/Townhome/Row Home/Co-Op,1972,98052,Redmond,,1064.0,9,8,8," Electric heat,Radiant heat",,,View: Yes
539900,3.0,1.75,212,Single Family Home,1958,98056,Renton,8205.0,2550.0,3,3,3, Forced Air, Central A/C,,View: Yes
930000,4.0,3.25,321,Single Family Home,1986,98029,Sammamish,9148.0,2900.0,7,8,8," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
899000,3.0,2.5,349,Single Family Home,2018,98053,Redmond,0.38,2576.0,,,," Electric heat,Forced air heat", Central A/C,,
999950,2.0,1.5,846,Condo/Townhome/Row Home/Co-Op,1981,98121,Seattle,,1182.0,7,NR,2," Baseboard heater(s),Electric heat",,,
839800,5.0,2.5,315,Single Family Home,1963,98034,Kirkland,9583.0,2664.0,8,5,7," Electric heat,Forced air heat", Ceiling fan(s),,
399950,3.0,2.5,172,Single Family Home,1965,98023,Federal Way,0.6,2330.0,4,3,2," Electric heat,Forced air heat", Ceiling fan(s),,
837450,4.0,2.5,313,Single Family Home,2018,98106,Seattle,8458.0,2676.0,3,6,2, Forced Air,,,View: Yes
1648000,4.0,3.5,430,Single Family Home,2000,98005,Bellevue,0.75,3830.0,7,7,4, Forced Air,,Fireplace in Mstr BR,View: Yes
