Price,Beds,Baths,Price_per_sqft,Type,Yr_Built,Zipcode,City,Sqft_lot,Sqft_liv,High_school_rating,Middle_school_rating,Elementary_School_Rating,Heating,Cooling,Fireplace,View
415000,2.0,1.75,338,Condo/Townhome/Row Home/Co-Op,1992,98144,Seattle,,1228.0,6,7,6," Electric heat,Forced air heat",,,
415000,2.0,1.75,338,Condo/Townhome/Row Home/Co-Op,1992,98144,Seattle,,1228.0,6,7,6," Electric heat,Forced air heat",,,
640000,3.0,2.5,333,Single Family Home,1999,98065,Snoqualmie,3485.0,1920.0,9,6,8," Electric heat,Forced air heat,Natural gas heat",,Fireplace(s): Yes,
799000,3.0,2.0,333,Single Family Home,1923,98105,Seattle,5227.0,2400.0,10,8,7," Electric heat,Forced air heat,Natural gas heat",,Fireplace(s): Yes,
820990,2.0,,596,single_family,,98008,Bellevue,,1378.0,8,4,3,,,,
814990,2.0,,537,single_family,,98008,Bellevue,,1519.0,8,4,3,,,,
1188000,3.0,1.75,356,Single Family Home,1937,98199,Seattle,6534.0,3340.0,9,7,8," Forced air heat,Natural gas heat", Ceiling fan(s),,View: Yes
228000,3.0,1.75,203,Condo/Townhome/Row Home/Co-Op,1981,98002,Auburn,,1125.0,3,2,2," Electric heat,Forced air heat,Natural gas heat",,Fireplace(s): Yes,
1598000,6.0,4.0,276,Single Family Home,2011,98006,Bellevue,0.38,5790.0,8,7,8," Forced Air,Heat Pump,High Efficiency",,,
599950,5.0,,195,single_family,,98092,Auburn,,3081.0,7,4,4,,,,
749000,3.0,1.75,353,Single Family Home,1966,98005,Bellevue,9148.0,2120.0,7,7,4," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
1278000,2.0,2.25,620,Single Family Home,2007,98119,Seattle,1307.0,2060.0,9,7,9," Natural gas heat,Radiant heat", Central A/C,Fireplace(s): Yes,View: Yes
2745000,3.0,3.0,532,Single Family Home,1979,98040,Mercer Island,0.34,5160.0,10,8,9," Baseboard heater(s),Electric heat", Central A/C,Fireplace(s): Yes,View: Yes
668000,3.0,2.25,493,Condo/Townhome/Row Home/Co-Op,1995,98052,Redmond,,1355.0,9,9,8," Electric heat,Forced air heat", Central A/C,Fireplace(s): Yes,
825000,3.0,1.75,453,Single Family Home,1979,98027,Issaquah,7405.0,1820.0,8,7,8, Forced air heat," Central A/C, Ceiling fan(s)",,
499990,4.0,2.5,166,Single Family Home,2003,98042,Kent,5703.0,3010.0,5,4,6, Forced Air,,,
