Price,Beds,Baths,Price_per_sqft,Type,Yr_Built,Zipcode,City,Sqft_lot,Sqft_liv,High_school_rating,Middle_school_rating,Elementary_School_Rating,Heating,Cooling,Fireplace,View
499950,4.0,2.75,202,Single Family Home,1969,98198,Des Moines,5000.0,2480.0,3,3,7, Forced Air,,,View: Yes
499950,4.0,2.75,202,Single Family Home,1969,98198,Des Moines,5000.0,2480.0,3,3,7, Forced Air,,,View: Yes
332000,2.0,2.0,331,Condo/Townhome/Row Home/Co-Op,1995,98028,Kenmore,,1003.0,7,6,7," Baseboard heater(s),Electric heat",,Fireplace(s): Yes,
498500,1.0,1.0,817,Condo/Townhome/Row Home/Co-Op,2007,98122,Seattle,,610.0,7,1,2, Electric heat,,,
575000,3.0,2.5,327,Single Family Home,2002,98133,Seattle,1742.0,1760.0,5,6,3," Electric heat,Forced air heat", Ceiling fan(s),Fireplace(s): Yes,
628000,3.0,1.0,357,Single Family Home,1917,98126,Seattle,6534.0,1760.0,5,7,4, Natural gas heat,,,View: Bay
329000,3.0,1.0,362,Single Family Home,1980,98038,Maple Valley,9583.0,910.0,9,7,8," Forced air heat,Natural gas heat",,,
785000,3.0,2.25,545,Single Family Home,2016,98199,Seattle,871.0,1440.0,9,7,9," Electric heat,Natural gas heat,Radiant heat",,,
339000,2.0,1.75,311,Single Family Home,1975,98038,Maple Valley,0.32,1090.0,9,7,7," Forced Air,Stove/Free Standing",,Fireplace(s): Yes,
2195000,5.0,4.5,463,Single Family Home,1924,98144,Seattle,7841.0,4740.0,6,5,3," Forced air heat,Natural gas heat", Central A/C,,
415500,3.0,2.5,199,Condo/Townhome/Row Home/Co-Op,2006,98198,Seatac,,2088.0,2,2,3," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
600000,,0.0,,1960,,98008,Bellevue,9583.0,,8,4,9,,,,
390000,3.0,2.25,235,Single Family Home,1988,98003,Federal Way,5250.0,1660.0,3,2,1, High Efficiency,,Fireplace(s): Yes,
