Price,Beds,Baths,Price_per_sqft,Type,Yr_Built,Zipcode,City,Sqft_lot,Sqft_liv,High_school_rating,Middle_school_rating,Elementary_School_Rating,Heating,Cooling,Fireplace,View
804950,5.0,2.75,262,Single Family Home,2019,98056,Renton,5001.0,3077.0,3,3,6," Forced Air,High Efficiency",,Fireplace(s): Yes,
804950,5.0,2.75,262,Single Family Home,2019,98056,Renton,5001.0,3077.0,3,3,6," Forced Air,High Efficiency",,Fireplace(s): Yes,
550000,1.0,1.0,906,Condo/Townhome/Row Home/Co-Op,1913,98122,Seattle,,607.0,7,1,2," Baseboard heater(s),Electric heat",,,
619000,2.0,1.75,725,Condo/Townhome/Row Home/Co-Op,2005,98115,Seattle,,854.0,10,8,7," Electric heat,Forced air heat", Central A/C,Fireplace(s): Yes,
640000,3.0,2.5,322,Single Family Home,2004,98065,Snoqualmie,4356.0,1987.0,9,8,7," Forced air heat,Natural gas heat",,,
1200000,3.0,2.0,432,Single Family Home,1977,98006,Bellevue,8712.0,2780.0,9,9,8," Forced air heat,Heat pump", Ceiling fan(s),Fireplace(s): Yes,View: Yes
1295000,4.0,3.5,236,Single Family Home,1984,98042,Kent,4.76,5480.0,5,5,7," Electric heat,Forced air heat", Central A/C,,
1050000,3.0,2.5,374,Single Family Home,1988,98052,Redmond,0.81,2810.0,9,7,9," Forced air heat,Natural gas heat", Central A/C,,
449000,4.0,3.0,202,Single Family Home,1968,98058,Renton,9148.0,2220.0,8,4,7," Electric heat,Forced air heat", Ceiling fan(s),,
349950,2.0,1.5,275,Condo/Townhome/Row Home/Co-Op,1981,98006,Bellevue,,1271.0,9,9,7," Electric heat,Radiant heat,Wood heat",,Fireplace(s): Yes,
2200000,2.0,2.25,1096,Condo/Townhome/Row Home/Co-Op,2009,98102,Seattle,,2007.0,7,NR,2," Electric heat,Heat pump", Central A/C,Fireplace(s): Yes,
499000,3.0,1.5,356,Single Family Home,1959,98027,Issaquah,1.22,1400.0,6,7,6," Electric heat,Forced air heat",,,
595000,4.0,2.75,274,Single Family Home,1965,98155,Lake Forest Park,0.43,2170.0,5,6,7," Forced air heat,Natural gas heat,Wood heat",,Fireplace(s): Yes,
649000,3.0,3.25,396,Single Family Home,2007,98116,Seattle,1742.0,1640.0,5,7,9," Hot water radiator heat,Natural gas heat",,Fireplace(s): Yes,
3250000,5.0,4.25,839,Condo/Townhome/Row Home/Co-Op,2002,98033,Kirkland,,3873.0,9,9,6," Electric heat,Forced air heat", Central A/C,,View: Yes
333000,3.0,2.5,233,Condo/Townhome/Row Home/Co-Op,2004,98055,Renton,10.63,1427.0,5,5,4, Forced Air,,Fireplace(s): Yes,View: Yes
2000000,3.0,2.5,592,Single Family Home,2015,98053,Redmond,5.0,3380.0,9,6,5, Fireplace insert," Central A/C, Ceiling fan(s)",,
439000,3.0,2.0,252,Single Family Home,1986,98022,Enumclaw,0.3,1740.0,,,," Electric heat,Forced air heat", Ceiling fan(s),,
820000,3.0,2.5,416,Single Family Home,1987,98029,Sammamish,6534.0,1970.0,7,8,8," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
3200000,4.0,3.5,838,Single Family Home,1975,98144,Seattle,6534.0,3820.0,6,5,7," Electric heat,Heat pump,Natural gas heat",,,View: Yes
1200000,4.0,2.75,375,Single Family Home,2012,98034,Kirkland,9583.0,3204.0,8,7,8," Forced air heat,Natural gas heat",,Fireplace(s): Yes,View: Yes
339950,2.0,2.0,270,Condo/Townhome/Row Home/Co-Op,2017,98038,Maple Valley,,1260.0,9,7,8," Forced Air,Heat Pump", Central A/C,Fireplace(s): Yes,View: Yes
1149950,4.0,2.5,419,Single Family Home,2014,98116,Seattle,5227.0,2742.0,5,7,8," Electric heat,Natural gas heat", Central A/C,Fireplace(s): Yes,
779999,4.0,1.75,300,Single Family Home,1946,98125,Seattle,8712.0,2600.0,6,7,5," Electric heat,Forced air heat", Ceiling fan(s),,View: Yes
1599000,2.0,2.0,1083,Condo/Townhome/Row Home/Co-Op,2015,98121,Seattle,,1476.0,7,NR,2," Electric heat,Forced air heat", Central A/C,,View: Yes
685000,6.0,2.5,227,Single Family Home,1962,98155,Shoreline,0.3,3020.0,5,6,7," Electric heat,Radiant heat", Ceiling fan(s),,
3200000,4.0,3.5,838,Single Family Home,1975,98144,Seattle,6534.0,3820.0,6,5,7," Electric heat,Heat pump,Natural gas heat",,,View: Yes
745000,4.0,2.5,253,Single Family Home,1989,98038,Maple Valley,0.88,2940.0,9,NR,7," Forced air heat,Heat pump", Central A/C,,
835000,2.0,2.0,645,Condo/Townhome/Row Home/Co-Op,1997,98033,Kirkland,,1295.0,9,9,8," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
649777,4.0,2.75,293,Single Family Home,1961,98178,Seattle,8712.0,2220.0,3,3,3," Forced air heat,Oil heat",,,
1695000,3.0,2.5,632,Single Family Home,2014,98014,Carnation,40.63,2680.0,9,6,5, Electric heat," Central A/C, Ceiling fan(s)",,
3250000,5.0,4.25,839,Condo/Townhome/Row Home/Co-Op,2002,98033,Kirkland,,3873.0,9,9,6," Electric heat,Forced air heat", Central A/C,,View: Yes
589880,3.0,2.0,454,Condo/Townhome/Row Home/Co-Op,1974,98004,Bellevue,,1300.0,8,6,9," Baseboard heater(s),Electric heat",,Fireplace(s): Yes,
499950,2.0,1.0,333,Single Family Home,1912,98126,Seattle,5227.0,1500.0,5,7,9," Forced air heat,Oil heat",,,
270000,3.0,2.0,224,Condo/Townhome/Row Home/Co-Op,1995,98042,Kent,,1204.0,5,5,6," Baseboard heater(s),Electric heat",,Fireplace(s): Yes,
617000,4.0,1.75,245,Single Family Home,1940,98125,Seattle,8276.0,2520.0,6,6,6," Electric heat,Forced air heat,Oil heat,Wood heat",,Fireplace(s): Yes,
399999,3.0,2.0,265,Single Family Home,1972,98003,Federal Way,0.54,1510.0,3,3,3," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
1100000,5.0,2.75,357,Single Family Home,1909,98103,Seattle,4356.0,3080.0,10,8,7," Electric heat,Forced air heat,Oil heat",,,
440000,3.0,2.5,149,Single Family Home,1980,98023,Federal Way,0.27,2960.0,4,3,6," Electric heat,Forced air heat", Ceiling fan(s),Fireplace(s): Yes,View: Yes
589900,4.0,2.5,203,Single Family Home,2014,98092,Kent,5446.0,2906.0,7,4,4, Forced Air, Central A/C,,View: Yes
499648,3.0,2.5,333,Condo/Townhome/Row Home/Co-Op,2003,98006,Bellevue,5668.0,1500.0,8,7,9, Forced Air,,,
529998,3.0,2.5,371,Condo/Townhome/Row Home/Co-Op,1999,98059,Renton,,1430.0,6,5,3," Electric heat,Forced air heat,Natural gas heat",,,
1749950,4.0,4.5,335,Single Family Home,2018,98006,Bellevue,8008.0,5224.0,9,7,7,,,,View: Yes
699950,2.0,1.0,327,Single Family Home,1946,98118,Seattle,5227.0,2140.0,6,7,4,,,Fireplace(s): Yes,
389728,3.0,2.75,231,Single Family Home,1985,98038,Maple Valley,6970.0,1690.0,9,NR,8," Electric heat,Wood heat",,Fireplace(s): Yes,
1175148,5.0,1.75,468,Single Family Home,1940,98115,Seattle,8276.0,2511.0,6,NR,5," Electric heat,Forced air heat",,Fireplace(s): Yes,
1238000,4.0,2.5,354,Single Family Home,1985,98052,Redmond,0.81,3500.0,9,7,9," Forced air heat,Natural gas heat", Central A/C,,
339000,4.0,2.0,235,Single Family Home,1950,98002,Auburn,6970.0,1440.0,3,2,2," Electric heat,Forced air heat",,Fireplace(s): Yes,
787900,2.0,2.25,553,Condo/Townhome/Row Home/Co-Op,1982,98109,Seattle,,1424.0,9,7,9," Electric heat,Natural gas heat,Radiant heat",,,View: Yes
